No;Nama;CAGR_1Y;Expense_Ratio;Total_AUM;Drawdown_1Y;Jenis;Tingkat_Risiko;NAV;;
58;Sucorinvest Equity Fund;-7,15;4,73;3,33;-18,75;Saham;Tinggi;2580,53;;
59;Manulife Saham Andalan;-14,43;4,75;2,43;-26,03;Saham;Tinggi;2082,84;;
60;Bahana Primavera 99 Kelas G;1,12;1,35;1,9;-10,79;Saham;Tinggi;1261,37;;
61;BNI-AM Dana Saham Inspiring Equity Fund;-3,99;1,63;1,31;-14,22;Saham;Tinggi;989,3255;;
62;BNP Paribas Ekuitas;4,68;2,72;1,11;-9,66;Saham;Tinggi;18852,852;;
63;BNP Paribas SRI KEHATI;8,75;2,13;1,06;-11,86;Saham;Tinggi;1131,97;;
64;Schroder 90 Plus Equity Fund;5,18;2,7;0,91;-12,45;Saham;Tinggi;2057,03;;
65;BNP Paribas Pesona;1,81;3,11;0,74;-10,24;Saham;Tinggi;26218,98;;
66;Schroder Dana Istimewa;0,07;3,93;0,73;-11,72;Saham;Tinggi;6844,24;;
67;Simas Saham Unggulan;-2,04;4,01;0,72;11,55;Saham;Tinggi;1283,443;;
68;BNP Paribas Infrastruktur Plus;-0,97;3,18;0,72;-12,22;Saham;Tinggi;2890,96;;
69;Eastspring Investments Value Discovery Kelas A;-7,45;2,05;0,7;-16,58;Saham;Tinggi;1294,03;;
70;BNP Paribas Pesona Syariah;-0,05;2,73;0,66;-7,79;Saham;Tinggi;244,86;;
71;Suchorinvest Sharia Equity Fund;-15,13;4,75;0,56;-19,3;Saham;Tinggi;1815,43;;
72;Avrist Ada Saham Blue Safir;-2,06;1,5;0,3422;-11,67;Saham;Tinggi;1064,92;;
73;Danareksa Mawar Konsumer 10 Kelas A;-1,81;4,05;0,33735;-11,45;Saham;Tinggi;1587,6276;;
74;TRAM Consumption Plus Kelas A;-3,28;4,16;0,27596;-13,11;Saham;Tinggi;1779,14;;
75;BNP Paribas Solaris;-13,42;4,39;0,25705;-19,95;Saham;Tinggi;1849,52;;
76;TRIM Kapital;0,59;6,14;0,25327;-12,52;Saham;Tinggi;11475,51;;
77;Manulife Syariah Sektoral Amanah Kelas A;-5,88;3,11;0,22791;-15,83;Saham;Tinggi;3463,29;;
78;Avrist IDX30;-6,22;1,45;0,23;-16,1;Saham;Tinggi;929,92;;
79;Sucorinvest Maxi Fund;-1,75;5,46;0,2;-18;Saham;Tinggi;1822,06;;
80;TRIM Kapitas Plus;-0,51;6,45;0,17;-13,14;Saham;Tinggi;4062,22;;
81;Batavia Dana Saham Syariah;-2,42;4,6;0,11;-9,7;Saham;Tinggi;1790,93;;
82;Principal Islamic Equity Growth Syariah;-0,9;5,65;0,11;-8,14;Saham;Tinggi;1190,11;;
83;Principal Index IDX30 Kelas O;-7,97;1,95;0,105;17,87;Saham;Tinggi;1310,53;;
84;TRIM Syariah Saham;-7,19;7,59;0,01;-13,09;Saham;Tinggi;1807,84;;
85;Mandiri Investa Atraktif-Syariah;2,7;6,1;0,06;-7,68;Saham;Tinggi;956,82;;
86;Danareksa Indeks Syariah;-5,02;1,81;0,041;-13,33;Saham;Tinggi;2341,83;;
87;Simas Syariah Unggulan;2,08;4,54;0,04;-10,66;Saham;Tinggi;611,0724;;
88;Majoris Saham Alokasi Dinamik Indonesia;-0,23;4,76;0,032;-13,35;Saham;Tinggi;930,8528;;
89;Eastspring IDX ESG Leaders Plus Kelas A;-4,96;0;0,027;-12,09;Saham;Tinggi;946,87;;
90;TRAM Infrastructure Plus;0,89;5,63;0,021;-14,99;Saham;Tinggi;1342,69;;
91;Mandiri Indeks FTSE Indonesia ESG Kelas A;1,59;0;0,007;-10,77;Saham;Tinggi;1015,94;;
